id_municipio,municipio_nome,id_municipio_tjsp,municipio_tjsp
3500105,Adamantina,6504,Adamantina
3500204,Adolfo,6505,Adolfo
3500303,Aguaí,6506,Aguaí
3500402,Águas da Prata,6507,Águas da Prata
3500501,Águas de Lindóia,6508,Águas de Lindóia
3500550,Águas de Santa Bárbara,6509,Águas de Santa Bárbara
3500600,Águas de São Pedro,6510,Águas de São Pedro
3500709,Agudos,6511,Agudos
3500758,Alambari,6512,Alambari
3500808,Alfredo Marcondes,6513,Alfredo Marcondes
3500907,Altair,6514,Altair
3501004,Altinópolis,6515,Altinópolis
3501103,Alto Alegre,6516,Alto Alegre
3501152,Alumínio,6517,Alumínio
3501202,Álvares Florence,6518,Álvares Florence
3501301,Álvares Machado,6519,Álvares Machado
3501400,Álvaro de Carvalho,6520,Álvaro de Carvalho
3501509,Alvinlândia,6521,Alvinlândia
3501608,Americana,6522,Americana
3501707,Américo Brasiliense,6523,Américo Brasiliense
3501806,Américo de Campos,6524,Américo de Campos
3501905,Amparo,6525,Amparo
3502002,Analândia,6526,Analândia
3502101,Andradina,6527,Andradina
3502200,Angatuba,6528,Angatuba
3502309,Anhembi,6529,Anhembi
3502408,Anhumas,6530,Anhumas
3502507,Aparecida,6531,Aparecida
3502606,Aparecida d'Oeste,6532,Aparecida d'Oeste
3502705,Apiaí,6533,Apiaí
3502754,Araçariguama,6534,Araçariguama
3502804,Araçatuba,6535,Araçatuba
3502903,Araçoiaba da Serra,6536,Araçoiaba da Serra
3503000,Aramina,6537,Aramina
3503109,Arandu,6538,Arandu
3503158,Arapeí,6539,Arapeí
3503208,Araraquara,6540,Araraquara
3503307,Araras,6541,Araras
3503356,Arco-Íris,6542,Arco-Íris
3503406,Arealva,6543,Arealva
3503505,Areias,6544,Areias
3503604,Areiópolis,6545,Areiópolis
3503703,Ariranha,6546,Ariranha
3503802,Artur Nogueira,6547,Artur Nogueira
3503901,Arujá,6548,Arujá
3503950,Aspásia,6549,Aspásia
3504008,Assis,6550,Assis
3504107,Atibaia,6551,Atibaia
3504206,Auriflama,6552,Auriflama
3504305,Avaí,6553,Avaí
3504404,Avanhandava,6554,Avanhandava
3504503,Avaré,6555,Avaré
3504602,Bady Bassitt,6556,Bady Bassitt
3504701,Balbinos,6557,Balbinos
3504800,Bálsamo,6558,Bálsamo
3504909,Bananal,6559,Bananal
3505005,Barão de Antonina,6560,Barão de Antonina
3505104,Barbosa,6561,Barbosa
3505203,Bariri,6562,Bariri
3505302,Barra Bonita,6563,Barra Bonita
3505351,Barra do Chapéu,6564,Barra do Chapéu
3505401,Barra do Turvo,6565,Barra do Turvo
3505500,Barretos,6566,Barretos
3505609,Barrinha,6567,Barrinha
3505708,Barueri,6568,Barueri
3505807,Bastos,6569,Bastos
3505906,Batatais,6570,Batatais
3506003,Bauru,6571,Bauru
3506102,Bebedouro,6572,Bebedouro
3506201,Bento de Abreu,6573,Bento de Abreu
3506300,Bernardino de Campos,6574,Bernardino de Campos
3506359,Bertioga,6575,Bertioga
3506409,Bilac,6576,Bilac
3506508,Birigui,6577,Birigui
3506607,Biritiba-Mirim,6578,Biritiba-Mirim
3506706,Boa Esperança do Sul,6579,Boa Esperança do Sul
3506805,Bocaina,6580,Bocaina
3506904,Bofete,6581,Bofete
3507001,Boituva,6582,Boituva
3507100,Bom Jesus dos Perdões,6583,Bom Jesus dos Perdões
3507159,Bom Sucesso de Itararé,6584,Bom Sucesso de Itararé
3507209,Borá,6585,Borá
3507308,Boracéia,6586,Boracéia
3507407,Borborema,6587,Borborema
3507456,Borebi,6588,Borebi
3507506,Botucatu,6589,Botucatu
3507605,Bragança Paulista,6590,Bragança Paulista
3507704,Braúna,6591,Braúna
3507753,Brejo Alegre,6592,Brejo Alegre
3507803,Brodowski,6593,Brodowski
3507902,Brotas,6594,Brotas
3508009,Buri,6595,Buri
3508108,Buritama,6596,Buritama
3508207,Buritizal,6597,Buritizal
3508306,Cabrália Paulista,6598,Cabrália Paulista
3508405,Cabreúva,6599,Cabreúva
3508504,Caçapava,6600,Caçapava
3508603,Cachoeira Paulista,6601,Cachoeira Paulista
3508702,Caconde,6602,Caconde
3508801,Cafelândia,6603,Cafelândia
3508900,Caiabu,6604,Caiabu
3509007,Caieiras,6605,Caieiras
3509106,Caiuá,6606,Caiuá
3509205,Cajamar,6607,Cajamar
3509254,Cajati,6608,Cajati
3509304,Cajobi,6609,Cajobi
3509403,Cajuru,6610,Cajuru
3509452,Campina do Monte Alegre,6611,Campina do Monte Alegre
3509502,Campinas,6612,Campinas
3509601,Campo Limpo Paulista,6613,Campo Limpo Paulista
3509700,Campos do Jordão,6614,Campos do Jordão
3509809,Campos Novos Paulista,6615,Campos Novos Paulista
3509908,Cananéia,6616,Cananéia
3509957,Canas,6617,Canas
3510005,Cândido Mota,6618,Cândido Mota
3510104,Cândido Rodrigues,6619,Cândido Rodrigues
3510153,Canitar,6620,Canitar
3510203,Capão Bonito,6621,Capão Bonito
3510302,Capela do Alto,6622,Capela do Alto
3510401,Capivari,6623,Capivari
3510500,Caraguatatuba,6624,Caraguatatuba
3510609,Carapicuíba,6625,Carapicuíba
3510708,Cardoso,6626,Cardoso
3510807,Casa Branca,6627,Casa Branca
3510906,Cássia dos Coqueiros,6628,Cássia dos Coqueiros
3511003,Castilho,6629,Castilho
3511102,Catanduva,6630,Catanduva
3511201,Catiguá,6631,Catiguá
3511300,Cedral,6632,Cedral
3511409,Cerqueira César,6633,Cerqueira César
3511508,Cerquilho,6634,Cerquilho
3511607,Cesário Lange,6635,Cesário Lange
3511706,Charqueada,6636,Charqueada
3557204,Chavantes,7147,Chavantes
3511904,Clementina,6637,Clementina
3512001,Colina,6638,Colina
3512100,Colômbia,6639,Colômbia
3512209,Conchal,6640,Conchal
3512308,Conchas,6641,Conchas
3512407,Cordeirópolis,6642,Cordeirópolis
3512506,Coroados,6643,Coroados
3512605,Coronel Macedo,6644,Coronel Macedo
3512704,Corumbataí,6645,Corumbataí
3512803,Cosmópolis,6646,Cosmópolis
3512902,Cosmorama,6647,Cosmorama
3513009,Cotia,6648,Cotia
3513108,Cravinhos,6649,Cravinhos
3513207,Cristais Paulista,6650,Cristais Paulista
3513306,Cruzália,6651,Cruzália
3513405,Cruzeiro,6652,Cruzeiro
3513504,Cubatão,6653,Cubatão
3513603,Cunha,6654,Cunha
3513702,Descalvado,6655,Descalvado
3513801,Diadema,6656,Diadema
3513850,Dirce Reis,6657,Dirce Reis
3513900,Divinolândia,6658,Divinolândia
3514007,Dobrada,6659,Dobrada
3514106,Dois Córregos,6660,Dois Córregos
3514205,Dolcinópolis,6661,Dolcinópolis
3514304,Dourado,6662,Dourado
3514403,Dracena,6663,Dracena
3514502,Duartina,6664,Duartina
3514601,Dumont,6665,Dumont
3514700,Echaporã,6666,Echaporã
3514809,Eldorado,6667,Eldorado
